country,keyword,interest
AT,C++,88.76923076923077
BE,Go,90.32692307692308
CZ,C++,87.73076923076923
DE,C++,89.9423076923077
DK,C++,88.5
ES,C++,82.36538461538461
FI,C++,89.63461538461539
FR,C++,87.13461538461539
IE,C++,91.84615384615384
IT,Go,88.09615384615384
NL,Rust,91.28846153846153
PL,C++,88.90384615384616
PT,Go,90.32692307692308
SE,C++,91.59615384615384
